CustomerID,gender,SeniorCitizen,Partner,Dependents,tenure_months,num_products,monthly_charges,total_charges,support_tickets_6mo,avg_response_time_hrs,login_frequency_weekly,feature_usage_score,payment_delay_days,nps_score,contract_type,payment_method,internet_service,plan_tier,referral_source,Churn
CUST-00000,Male,0,Yes,Yes,7,5,41.81,364.13,1,0.35,5,77.04,12,10.0,Month-to-Month,PayPal,Fiber Optic,Standard,Social,0
CUST-00001,Female,0,No,No,55,2,86.29,4834.31,8,1.95,6,47.15,10,3.0,Month-to-Month,Credit Card,Fiber Optic,Standard,Social,0
CUST-00002,Female,0,Yes,No,47,5,96.69,4560.77,9,0.24,2,69.52,3,6.0,One-Year,PayPal,DSL,Standard,Social,0
CUST-00003,Female,1,No,Yes,32,1,36.66,1111.86,11,6.55,8,58.43,1,10.0,Month-to-Month,Credit Card,Fiber Optic,Premium,Paid,0
CUST-00004,Male,0,No,No,31,1,24.39,844.59,12,4.31,2,17.03,9,1.0,Month-to-Month,Check,Fiber Optic,Premium,Paid,0
CUST-00005,Male,1,No,No,61,1,63.96,3850.58,9,1.7,0,57.27,6,5.0,Two-Year,PayPal,None,Standard,Social,0
CUST-00006,Female,0,No,Yes,7,1,97.4,698.72,0,0.01,6,92.56,20,7.0,Month-to-Month,Credit Card,Fiber Optic,Premium,Paid,0
CUST-00007,Male,0,No,Yes,50,4,85.08,4241.06,7,4.47,17,34.52,13,3.0,One-Year,Bank Transfer,DSL,Premium,Referral,0
CUST-00008,Male,0,Yes,No,15,1,90.19,1331.29,3,1.77,19,49.39,4,0.0,Month-to-Month,Bank Transfer,DSL,Standard,Paid,0
CUST-00009,Female,1,No,Yes,7,4,60.28,460.2,0,0.22,17,41.61,17,2.0,Month-to-Month,Check,Fiber Optic,Standard,Social,0
CUST-00010,Female,1,Yes,No,38,3,43.49,1665.02,13,6.83,19,68.86,19,9.0,Month-to-Month,PayPal,Fiber Optic,Standard,Social,0
CUST-00011,Male,0,Yes,Yes,70,2,73.18,5148.11,2,0.28,17,62.7,14,2.0,Month-to-Month,Credit Card,None,Standard,Paid,0
CUST-00012,Male,1,No,Yes,53,1,40.44,2102.35,3,0.72,13,47.71,19,9.0,Two-Year,PayPal,Fiber Optic,Premium,Paid,0
CUST-00013,Female,1,No,No,55,1,92.62,5085.55,5,4.7,3,,27,8.0,Month-to-Month,Bank Transfer,Fiber Optic,Standard,Social,0
CUST-00014,Male,0,No,No,51,1,39.7,1986.05,6,7.22,16,26.45,17,6.0,One-Year,Check,Fiber Optic,Standard,Organic,0
CUST-00015,Male,1,Yes,No,56,3,49.13,2741.12,9,0.52,19,31.45,10,3.0,Two-Year,Credit Card,Fiber Optic,Premium,Social,0
CUST-00016,Male,1,No,No,37,5,70.65,2608.28,4,2.74,9,73.25,18,4.0,Month-to-Month,Check,Fiber Optic,Standard,Social,0
CUST-00017,Female,1,No,Yes,10,3,68.67,778.93,11,1.48,13,39.63,26,3.0,One-Year,Credit Card,None,Premium,Paid,0
CUST-00018,Female,1,No,Yes,60,4,80.08,4792.13,2,0.2,7,37.83,19,4.0,Month-to-Month,PayPal,Fiber Optic,Basic,Referral,0
CUST-00019,Male,0,No,Yes,32,2,63.74,1933.54,14,4.29,11,44.59,14,4.0,Two-Year,Credit Card,DSL,Standard,Referral,0
CUST-00020,Female,1,Yes,No,36,1,111.95,4099.86,12,0.05,0,43.2,3,4.0,Month-to-Month,Bank Transfer,Fiber Optic,Premium,Referral,0
CUST-00021,Male,0,No,Yes,27,2,103.99,2830.29,8,3.35,14,71.77,20,3.0,Month-to-Month,Bank Transfer,DSL,Premium,Social,0
CUST-00022,Male,0,Yes,Yes,13,3,107.91,1396.3,0,0.97,10,67.03,23,4.0,Two-Year,PayPal,DSL,Standard,Referral,0
CUST-00023,Female,1,No,Yes,66,5,82.95,5452.95,10,4.54,15,76.29,16,5.0,One-Year,Bank Transfer,DSL,Basic,Referral,0
CUST-00024,Female,1,Yes,Yes,56,2,83.5,4628.7,10,5.27,7,20.74,18,5.0,One-Year,Check,None,Basic,Paid,0
CUST-00025,Male,0,Yes,Yes,46,5,80.92,3819.22,9,5.39,8,74.14,3,10.0,Month-to-Month,Bank Transfer,Fiber Optic,Basic,Referral,0
CUST-00026,Female,0,Yes,Yes,29,4,63.49,1843.76,4,2.38,2,,29,1.0,Month-to-Month,Check,DSL,Premium,Referral,0
CUST-00027,Male,0,No,No,59,2,52.21,2993.54,6,1.45,11,0.01,12,10.0,Two-Year,Bank Transfer,DSL,Standard,Organic,0
CUST-00028,Male,0,Yes,Yes,39,4,79.2,3105.2,6,0.26,18,63.96,26,9.0,Month-to-Month,PayPal,Fiber Optic,Standard,Referral,0
CUST-00029,Male,0,No,Yes,32,4,22.55,782.01,9,12.98,11,1.18,20,10.0,One-Year,Credit Card,Fiber Optic,Standard,Paid,0
CUST-00030,Male,0,No,Yes,32,4,20.75,671.68,4,0.97,17,9.8,21,8.0,Two-Year,Bank Transfer,Fiber Optic,Standard,Social,0
CUST-00031,Male,1,No,Yes,17,5,105.16,1742.71,6,0.26,0,4.11,8,6.0,One-Year,PayPal,Fiber Optic,Premium,Organic,1
CUST-00032,Male,0,No,Yes,7,4,24.64,122.94,13,10.98,14,60.64,7,4.0,One-Year,Bank Transfer,Fiber Optic,Standard,Organic,0
CUST-00033,Female,1,No,Yes,40,1,72.48,2853.31,6,1.24,0,20.79,9,10.0,Month-to-Month,Bank Transfer,Fiber Optic,Premium,Social,0
CUST-00034,Male,0,No,No,64,2,81.5,5292.0,8,7.77,8,80.92,8,9.0,Month-to-Month,Bank Transfer,Fiber Optic,Premium,Referral,0
CUST-00035,Male,1,No,No,5,5,39.82,195.5,13,0.08,9,35.63,21,4.0,One-Year,PayPal,Fiber Optic,Basic,Social,0
CUST-00036,Male,0,No,No,61,2,109.57,6600.02,14,12.95,9,33.52,4,3.0,Two-Year,Bank Transfer,None,Basic,Organic,0
CUST-00037,Female,1,Yes,No,59,3,39.01,2320.77,8,0.74,11,51.48,22,2.0,Month-to-Month,Check,DSL,Premium,Organic,0
CUST-00038,Female,0,Yes,No,20,3,108.45,2176.08,3,0.42,15,77.5,4,7.0,One-Year,PayPal,Fiber Optic,Basic,Organic,0
CUST-00039,Female,1,No,No,45,3,96.3,4311.01,1,0.73,14,69.64,16,9.0,Month-to-Month,Check,DSL,Basic,Paid,0
CUST-00040,Male,1,Yes,No,12,5,44.07,477.87,12,13.45,1,20.65,8,9.0,Month-to-Month,Credit Card,DSL,Basic,Organic,0
CUST-00041,Male,0,No,No,54,3,35.07,1840.82,7,1.44,15,76.35,22,9.0,Month-to-Month,Check,Fiber Optic,Standard,Paid,0
CUST-00042,Male,0,Yes,No,50,1,51.62,2635.5,8,5.33,7,50.68,8,9.0,Month-to-Month,Bank Transfer,DSL,Basic,Referral,0
CUST-00043,Male,0,Yes,Yes,26,2,59.8,1567.05,14,3.95,11,98.74,25,4.0,Month-to-Month,Bank Transfer,None,Standard,Social,0
CUST-00044,Female,1,Yes,No,5,4,44.58,246.82,5,,18,51.68,26,8.0,Month-to-Month,Check,Fiber Optic,Basic,Paid,0
CUST-00045,Female,0,Yes,Yes,69,4,119.89,8284.59,1,3.29,5,28.62,15,2.0,One-Year,Credit Card,None,Premium,Referral,0
CUST-00046,Female,1,No,Yes,32,4,42.97,1391.27,10,3.47,12,76.11,0,6.0,Month-to-Month,Check,Fiber Optic,Basic,Organic,0
CUST-00047,Female,0,No,No,64,4,103.06,6572.64,14,1.43,12,,20,4.0,Month-to-Month,PayPal,DSL,Basic,Organic,0
CUST-00048,Female,0,Yes,No,49,2,35.91,1749.39,2,3.25,10,72.46,20,2.0,Month-to-Month,PayPal,Fiber Optic,Basic,Referral,0
CUST-00049,Female,0,No,No,56,1,118.02,6667.62,14,1.61,5,54.32,0,4.0,Month-to-Month,Check,Fiber Optic,Premium,Paid,0
CUST-00050,Female,0,Yes,Yes,54,5,42.55,2368.56,8,3.57,14,17.56,16,8.0,Month-to-Month,PayPal,Fiber Optic,Basic,Organic,0
